,Unnamed: 0,precio_estimado,precio_venta,fecha,autor,casa_subasta,tipo,tecnica,dimensiones,fecha_creacion,titulo,precio_ajustado,is_inch,height,width
16079,16890," 10,000 - 15,000 USD "," 7,000 USD ",2001-11-13, Rodolfo Morales,Doyle New York,20th Century Art & Design, Oil on linen , 35.375 x 27.5 inches , 1985 ,"UNTITLED by Rodolfo Morales, 1985","11,709 USD",1,35.375,27.5
16080,16891," 3,000 - 5,000 USD "," 3,000 USD ",2001-11-13, Florencio Molina Campos,Doyle New York,20th Century Art & Design, Gouache with black chalk on paper , 12.1875 x 18.875 inches , 1930 ,"GAUCHO by Florencio Molina Campos, 1930","5,018 USD",1,12.187,5.0
16081,16892," 3,000 - 5,000 USD "," 4,000 USD ",2001-11-13, Florencio Molina Campos,Doyle New York,20th Century Art & Design, Gouache with black chalk on paper , 10.875 x 16.3125 inches , 1939 ,"PULPERIA by Florencio Molina Campos, 1939","6,691 USD",1,10.875,16.312
16082,16893," 30,000 - 40,000 USD "," 15,000 USD ",2001-11-13, Fernando Botero,Doyle New York,20th Century Art & Design, Oil on canvas , 16.25 x 16.25 inches , 1961 ,"MENINA, AFTER VELASQUEZ by Fernando Botero, 1961","25,090 USD",1,16.25,16.25
16083,16894," 3,000 - 5,000 USD "," 2,400 USD ",2001-11-13, Florencio Molina Campos,Doyle New York,20th Century Art & Design, Gouache and chalk on board , 12 x 18.375 inches , 1944 ,"COWBOY by Florencio Molina Campos, 1944","4,014 USD",1,12.0,18.375
16084,16895," 6,000 - 9,000 USD "," 5,000 USD ",2001-11-13, Fernando Botero,Doyle New York,20th Century Art & Design, Oil on paper , 23.75 x 16.875 inches , 1961 ,"HORSE AND RIDER by Fernando Botero, 1961","8,363 USD",1,23.75,16.875
16086,16901," 2,500 - 3,500 USD "," 1,900 USD ",2001-11-13, Horacio Rentería Rocha,Doyle New York,20th Century Art & Design, Oil on canvas , 25.75 x 17.875 inches ,,GIRL WITH A DOLL IN A LANDSCAPE by Horacio Rentería Rocha,"3,178 USD",1,25.75,17.875
16087,16902," 2,500 - 4,500 USD "," 2,600 USD ",2001-11-13, Gustavo Montoya,Doyle New York,20th Century Art & Design, Oil on canvas , each 24 x 18.125 inches ,,2 WORKS: GIRL WITH TOY HORSE & BOY WITH TOY CAGE by Gustavo Montoya,"4,349 USD",1,24.0,18.125
16088,16903," 2,000 - 3,000 USD "," 1,998 USD ",2001-11-13, Manuel Álvarez Bravo,Christie's,Photographs, Gelatin silver print , 90.5 x 70.5in. (24.2 x 19cm.) , 1934/Printed later ,"Sed Pública (Public Thirst) by Manuel Álvarez Bravo, 1934/Printed later","3,342 USD",1,90.5,70.5
16089,16904," 1,200 - 1,800 USD "," 3,290 USD ",2001-11-13, Manuel Álvarez Bravo,Christie's,Photographs, 2 gelatin silver prints , Each approxiamtely 160.75 x 230.5in. (42.5 x 59.7cm.) , 1970; and 1971 ,"Selected images of Acapulco by Manuel Álvarez Bravo, 1970; and 1971","5,503 USD",1,160.75,230.5
16090,16905," 2,000 - 3,000 USD "," 2,585 USD ",2001-11-13, Manuel Álvarez Bravo,Christie's,Photographs, Gelatin silver print , 90.25 x 7.375in. (23.5 x 18.7cm.) , 1924/Printed later ,"El Peluquero (Barber) by Manuel Álvarez Bravo, 1924/Printed later","4,324 USD",1,90.25,7.375
16091,16906," 2,000 - 3,000 USD "," 1,998 USD ",2001-11-13, Manuel Álvarez Bravo,Christie's,Photographs, Gelatin silver print , 9.625 x 6.375in. (24.5 x 17.5cm.) , Early 1930s/Printed later ,"El Evangelista (The Evangelist) by Manuel Álvarez Bravo, Early 1930s/Printed later","3,342 USD",1,9.625,6.375
16092,16907," 1,200 - 1,800 USD "," 1,100 USD ",2001-11-14, Marcelo Bonevardi,Doyle New York,20th Century Art and Design, Painted wood and gesso on board , Overall: 15.5 x 14.25 in. , 1970 ,"Untitled by Marcelo Bonevardi, 1970","1,840 USD",1,15.5,14.25
16093,16908," 3,000 - 5,000 USD "," 3,750 USD ",2001-11-14, Ángel Botello,Doyle New York,20th Century Art and Design, Oil on masonite , 31 x 19 in. ,,Flowers by Ángel Botello,"6,272 USD",1,31.0,19.0
16096,16911," 4,000 - 6,000 USD "," 2,000 USD ",2001-11-14, Horacio Rentería Rocha,Doyle New York,20th Century Art and Design, Oil on canvas , 23.75 x 18.25 in. ,,Young Lady with Pet Birds by Horacio Rentería Rocha,"3,345 USD",1,23.75,18.25
16097,16912," 4,000 - 6,000 USD "," 2,000 USD ",2001-11-14, Horacio Rentería Rocha,Doyle New York,20th Century Art and Design, Oil on canvas , 23.75 x 18.25 in. ,,Young Gentleman with Dogs and Cat by Horacio Rentería Rocha,"3,345 USD",1,23.75,18.25
16098,16913," 7,000 - 10,000 USD "," 4,500 USD ",2001-11-14, Jesús Guerrero Galván,Doyle New York,20th Century Art and Design, Oil on panel , 19.5 x 23.75 in. , 1958 ,"Mujer con Paloma by Jesús Guerrero Galván, 1958","7,527 USD",1,19.5,23.75
16100,16915," 10,000 - 15,000 USD "," 5,000 USD ",2001-11-14, Miguel Covarrubias,Doyle New York,20th Century Art and Design, Watercolor on paper adhered to board , 18 x 14 in. ,,Nina by Miguel Covarrubias,"8,363 USD",1,18.0,14.0
16101,16916," 3,000 - 5,000 USD "," 1,800 USD ",2001-11-14, Alfredo Zalce,Doyle New York,20th Century Art and Design, Oil on board , 21.75 x 12.25 in. , 1962 ,"Floral Still Life by Alfredo Zalce, 1962","3,011 USD",1,21.75,12.25
16102,16918," 1,000 - 1,500 USD "," 1,800 USD ",2001-11-14, Marcelo Bonevardi,Doyle New York,20th Century Art and Design, Pen and ink and watercolor on paper and plaster construct , 17 x 12 in. , 1968 ,"The Door by Marcelo Bonevardi, 1968","3,011 USD",1,17.0,12.0
16104,16921, 500 - 700 GBP , 588 GBP ,2001-11-15, José Antonio Suárez Londoño,Christie's,British and Continental Pictures, oil on canvas , 290.5 x 430.25 in. (74.9 x 112.3 cm.) ,,"A small bird by pears, apples, pears, pomegranites, grapes, figs and basket of mixed flowers, a landscape beyond by José Antonio Suárez Londoño","1,408 USD",1,290.5,430.25
16107,16924," 25,000 - 35,000 USD "," 49,625 USD ",2001-11-15, Guillermo Kuitca,Sotheby's,"Contemporary Art, Part Two", acrylic on canvas , 50 by 63in. ,,Untitled by Guillermo Kuitca,"83,005 USD",1,50.0,63.0
16108,16925," 18,000 - 22,000 USD "," 25,850 USD ",2001-11-16, Vik Muniz,Christie's,Contemporary (Day Sale), Cibachrome print mounted on foamcore , 45 x 53 in. (114.3 x 134.6 cm.) , 1999 ,"Yves Klein (From Pictures of Chocolate) by Vik Muniz, 1999","43,238 USD",1,45.0,53.0
16109,16927," 60,000 - 80,000 USD "," 47,000 USD ",2001-11-19, Mario Carreño,Christie's,Latin American Art, oil on canvas laid down on board , 20 x 15.875in. (50.8 x 40.3cm.) , 1945 ,"Bathers by Mario Carreño, 1945","78,615 USD",1,20.0,15.875
16110,16928," 40,000 - 60,000 USD "," 37,600 USD ",2001-11-19, Emiliano di Cavalcanti,Christie's,Latin American Art, oil on canvas , 190.75 x 24in. (50 x 61cm.) , ca. 1955 ,"Crianças by Emiliano di Cavalcanti, ca. 1955","62,892 USD",1,190.75,24.0
16111,16930," 60,000 - 80,000 USD "," 82,250 USD ",2001-11-19, Hélio Oiticica,Christie's,Latin American Art, cloth and pigment , variable dimensions ,,Parangolé de aqua by Hélio Oiticica,"137,575 USD",1,,
16112,16931," 16,000 - 20,000 USD "," 14,100 USD ",2001-11-19, Mario Segundo Pérez,Christie's,Latin American Art, oil on canvas , 470.25 x 390.5in. (120 x 100.3cm.) , 2001 ,"Tarde de Zonda by Mario Segundo Pérez, 2001","23,584 USD",1,470.25,390.5
16113,16932," 25,000 - 35,000 USD "," 28,200 USD ",2001-11-19, Manuel Rodríguez Lozano,Christie's,Latin American Art, oil on canvas , 37 x 270.25in. (94 x 69cm.) , 1941-1942 ,"Mujeres en blanco by Manuel Rodríguez Lozano, 1941-1942","47,169 USD",1,37.0,270.25
16114,16934," 15,000 - 20,000 USD "," 21,150 USD ",2001-11-19, Wifredo Lam,Christie's,Latin American Art, oil on canvas , 13.625 x 17.625in. (34.6 x 44.8cm.) , 1972 ,"Composition by Wifredo Lam, 1972","35,377 USD",1,13.625,17.625
16115,16935," 40,000 - 60,000 USD "," 41,125 USD ",2001-11-19, Miguel Cabrera,Christie's,Latin American Art, oil on canvas , 280.75 x 38.625in. (72 x 98cm.) ,,Santa Prisca Virgen by Miguel Cabrera,"68,788 USD",1,280.75,38.625
16116,16936," 150,000 - 200,000 USD "," 160,000 USD ",2001-11-19, Roberto Matta,Christie's,Latin American Art, colored crayon on paper , 90.75 x 120.75in. (24.8 x 32.4cm.) , 1937 ,"Untitled by Roberto Matta, 1937","267,624 USD",1,90.75,120.75
16117,16938," 45,000 - 55,000 USD "," 64,625 USD ",2001-11-19, Gunther Gerzso,Christie's,Latin American Art, oil on board , 160.5 x 230.5in. (42 x 59.7cm.) , 1947 ,"Lugar Desconocido by Gunther Gerzso, 1947","108,095 USD",1,160.5,230.5
16118,16941," 8,000 - 10,000 USD "," 9,988 USD ",2001-11-19, Mira Schendel,Christie's,Latin American Art, oil on rice paper , each: 180.25 x 9.125in. (46.5 x 23cm.) , 1964 ,"Untitled by Mira Schendel, 1964","16,706 USD",1,180.25,9.125
16119,16942," 20,000 - 25,000 USD "," 19,975 USD ",2001-11-19, Fernando Canovas,Christie's,Latin American Art, acrylic and sand on canvas , 780.75 x 780.75in. (200 x 200cm.) , 1999 ,"Sin título by Fernando Canovas, 1999","33,411 USD",1,780.75,780.75
16120,16943," 15,000 - 20,000 USD "," 21,150 USD ",2001-11-19, António Dias,Christie's,Latin American Art, oil on canvas , each: 150.75 x 230.75in. (40 x 60.5cm.) , 1990 ,"Untitled (dyptich) by António Dias, 1990","35,377 USD",1,150.75,230.75
16121,16944," 20,000 - 30,000 USD "," 18,800 USD ",2001-11-19, Ignacio Iturria,Christie's,Latin American Art, oil on canvas , 450.5 x 35in. (115.6 x 88.9cm.) , ca. 1990 ,"La canilla by Ignacio Iturria, ca. 1990","31,446 USD",1,450.5,35.0
16122,16945," 40,000 - 50,000 USD "," 41,125 USD ",2001-11-19, Armando Morales,Christie's,Latin American Art, oil on paper laid down on board , 620.25 x 50.375in. (158 x 128cm.) , 1987 ,"Bañistas con perro sajado by Armando Morales, 1987","68,788 USD",1,620.25,50.375
16123,16947," 50,000 - 70,000 USD "," 47,000 USD ",2001-11-19, Roberto Matta,Christie's,Latin American Art, oil on burlap , 58 x 56in. (147.3 x 142.3cm.) ,,Two figures by Roberto Matta,"78,615 USD",1,58.0,56.0
16124,16948," 20,000 - 25,000 USD "," 21,150 USD ",2001-11-19, Wifredo Lam,Christie's,Latin American Art, charcoal and pastel on heavy paper , 22 x 290.75in. (55.9 x 75.5cm.) , 1970 ,"Sin título by Wifredo Lam, 1970","35,377 USD",1,22.0,290.75
16125,16949," 10,000 - 15,000 USD "," 9,400 USD ",2001-11-19, Noêmia Guerra,Christie's,Latin American Art, oil on canvas , 250.5 x 390.25in. (64.8 x 99.7cm.) , 1998 ,"Samba by Noêmia Guerra, 1998","15,723 USD",1,250.5,390.25
16126,16950," 15,000 - 20,000 USD "," 14,100 USD ",2001-11-19, Joaquín Clausell,Christie's,Latin American Art, oil on board , 60.75 x 110.5in. (17 x 29cm.) ,,Marina by Joaquín Clausell,"23,584 USD",1,60.75,110.5
16127,16951," 50,000 - 70,000 USD "," 35,250 USD ",2001-11-19, Miguel Cabrera,Christie's,Latin American Art, oil on canvas , 50 x 32in. (120 x 80cm.) ,,Virgen Pastora by Miguel Cabrera,"58,961 USD",1,50.0,32.0
16128,16954," 50,000 - 70,000 USD "," 52,875 USD ",2001-11-19, Guillermo Munoz Vera,Christie's,Latin American Art, oil on canvas , 39.375 x 59.125in. (100 x 150cm.) , 2000 ,"Cuencos de barro y calabazas by Guillermo Munoz Vera, 2000","88,441 USD",1,39.375,59.125
16129,16955," 45,000 - 55,000 USD "," 47,000 USD ",2001-11-19, Pedro Figari,Christie's,Latin American Art, oil on board , 190.5 x 270.5in. (49.5 x 69.8cm.) , ca. 1932 ,"La media caña by Pedro Figari, ca. 1932","78,615 USD",1,190.5,270.5
16130,16956," 160,000 - 220,000 USD "," 204,000 USD ",2001-11-19, Claudio Bravo,Christie's,Latin American Art, oil crayon on paper laid down on board , 28 x 22.875in. (71 x 58cm.) , 1966 ,"Paquete by Claudio Bravo, 1966","341,221 USD",1,28.0,22.875
16131,16957," 7,000 - 9,000 USD "," 6,462 USD ",2001-11-19, José Bedia,Christie's,Latin American Art, ink and pigment on paper , 38.125 x 51.125in. (97 x 130cm.) , 1996 ,"Que ciudad aquella by José Bedia, 1996","10,809 USD",1,38.125,51.125
16132,16960," 200,000 - 250,000 USD "," 259,000 USD ",2001-11-19, Juan O'Gorman,Christie's,Latin American Art, oil on masonite , 17 x 430.25in. (43 x 110cm.) , 1948 ,"Vista panorámica Guanajuato y Michoacán by Juan O'Gorman, 1948","433,216 USD",1,17.0,430.25
16133,16961," 70,000 - 90,000 USD "," 70,500 USD ",2001-11-19, Manuel Serrano,Christie's,Latin American Art, oil on canvas , 200.5 x 300.75in. (52 x 78cm.) , ca. 1850 ,"Marcando la caballada by Manuel Serrano, ca. 1850","117,922 USD",1,200.5,300.75
16134,16962," 25,000 - 35,000 USD "," 23,500 USD ",2001-11-19, Alfredo Hlito,Christie's,Latin American Art, oil on canvas , 270.75 x 270.5in. (70.5 x 70cm.) , 1952 ,"Sin título by Alfredo Hlito, 1952","39,307 USD",1,270.75,270.5
16135,16963," 18,000 - 22,000 USD "," 18,800 USD ",2001-11-19, Wifredo Lam,Christie's,Latin American Art, charcoal and ink on paper laid down on paper , 28 x 200.5in. (71.1 x 52cm.) , 1962 ,"Sin título by Wifredo Lam, 1962","31,446 USD",1,28.0,200.5
16136,16964," 15,000 - 20,000 USD "," 14,100 USD ",2001-11-19, Raúl Anguiano,Christie's,Latin American Art, oil on canvas , 36.625 x 270.25in. (93 x 69cm.) , 1944 ,"El hombre de la mandolina by Raúl Anguiano, 1944","23,584 USD",1,36.625,270.25
16137,16965," 60,000 - 80,000 USD "," 58,750 USD ",2001-11-19, Wifredo Lam,Christie's,Latin American Art, oil on canvas , 28.875 x 360.25in. (73.3 x 92cm.) , 1969 ,"Sin título by Wifredo Lam, 1969","98,268 USD",1,28.875,360.25
16138,16966," 10,000 - 15,000 USD "," 9,400 USD ",2001-11-19, Joaquín Clausell,Christie's,Latin American Art, oil on canvas , 9.875 x 110.75in. (25 x 30cm.) ,,Marina by Joaquín Clausell,"15,723 USD",1,9.875,110.75
16139,16967," 150,000 - 200,000 USD "," 149,000 USD ",2001-11-19, Fernando Botero,Christie's,Latin American Art, pastel on crescent board , 40 x 32in. (101.6 x 81.3cm.) , 1969 ,"El cuarto de costura by Fernando Botero, 1969","249,225 USD",1,40.0,32.0
16140,16969," 15,000 - 20,000 USD "," 17,625 USD ",2001-11-19, Alfredo Jaar,Christie's,Latin American Art, single sided lightbox with color transparency , 72.625 x 480.5 x 6.875in. (184.5 x 123.2 x 17cm.) , 1988 ,"Waiting: From the series The Body is the Map by Alfredo Jaar, 1988","29,480 USD",1,72.625,480.5
16141,16970," 10,000 - 15,000 USD "," 12,925 USD ",2001-11-19, Rafael Coronel,Christie's,Latin American Art, oil on canvas , 59.125 x 78.875in. (150.2 x 200.3cm.) , 1973 ,"Terminal camionera by Rafael Coronel, 1973","21,619 USD",1,59.125,78.875
16142,16972," 22,000 - 26,000 USD "," 23,500 USD ",2001-11-19, Rubén Berland,Christie's,Latin American Art, acrylic on canvas , 47.875 x 59.875in. (121.6 x 152.1cm.) , 1999 ,"Mogote bajo luz de Luna llena by Rubén Berland, 1999","39,307 USD",1,47.875,59.875
16143,16973," 10,000 - 15,000 USD "," 5,875 USD ",2001-11-19, Cayetano Donnis,Christie's,Latin American Art, oil on canvas , 36 x 470.5in. (91.5 x 120.6cm.) ,,Maternidad by Cayetano Donnis,"9,827 USD",1,36.0,470.5
16144,16974," 100,000 - 150,000 USD "," 94,000 USD ",2001-11-19, Fernando Botero,Christie's,Latin American Art, oil on canvas , 42.125 x 43.125in. (107 x 109.5cm.) , 1966 ,"Frutas by Fernando Botero, 1966","157,229 USD",1,42.125,43.125
16145,16975," 40,000 - 60,000 USD "," 99,500 USD ",2001-11-19, Roberto Matta,Christie's,Latin American Art, oil on canvas , 31.875 x 390.5in. (81 x 100.3cm.) , 1962 ,"Untitled by Roberto Matta, 1962","166,429 USD",1,31.875,390.5
16146,16976," 4,000 - 6,000 USD "," 4,935 USD ",2001-11-19, José Luis Cuevas,Christie's,Latin American Art, charcoal and sepia ink , 6 x 50.5in. (15.2 x 14cm.) 90.75 x 12.125in. (24.8... , 1967 ,"a. Sin título by José Luis Cuevas, 1967","8,255 USD",1,6.0,50.5
16147,16977," 3,000 - 5,000 USD "," 2,820 USD ",2001-11-19, Alexis Fernandez,Christie's,Latin American Art, oil on canvas , 540.5 x 38in. (138.5 x 96.5cm.) , 1993-1994 ,"Sin título by Alexis Fernandez, 1993-1994","4,717 USD",1,540.5,38.0
16148,16978," 25,000,000 - 35,000,000 ITL "," 28,175,000 ITL ",2001-11-20, Wifredo Lam,Christie's,Arte Moderna E Contemporanea, oil on canvas , 40x50 cm , 1971 ,"Composizione by Wifredo Lam, 1971","21,487 USD",0,40.0,50.0
16149,16980," 7,000 - 10,000 USD "," 4,000 USD ",2001-12-05, Francis Luis Mora,Doyle New York,European & American Paintings & Sculpture, Oil on canvas; Watercolor over charcoal on paper , Various sizes ,,LAS MANOLAS; TWO SPANISH BEAUTIES by Francis Luis Mora,"6,691 USD",1,,
16150,16981," 5,000 - 7,000 USD "," 4,250 USD ",2001-12-05, Francis Luis Mora,Doyle New York,European & American Paintings & Sculpture, Oil on canvas , 22 x 18 inches ,,SPANISH BEAUTY by Francis Luis Mora,"7,109 USD",1,22.0,18.0
16151,16982," 3,000 - 4,000 USD "," 5,288 USD ",2001-12-05, Carlos Almaraz,Christie's,Post-War and Contemporary Art, colored pastel and charcoal on paper , 190.75 x 30 in. (50.2 x 76.2 cm.) , 1986 ,"Overpass by Carlos Almaraz, 1986","8,845 USD",1,190.75,30.0
16152,16983," 12,000 - 18,000 USD "," 11,163 USD ",2001-12-05, Carlos Almaraz,Christie's,Post-War and Contemporary Art, oil on canvas , 48 x 36 in. (121.9 x 91.4 cm.) , 1986 ,"City Bridge II by Carlos Almaraz, 1986","18,672 USD",1,48.0,36.0
16153,16984, 400 - 600 GBP ," 1,293 GBP ",2001-12-06, Raúl Rial,Christie's,20th Century British Art, oil on canvas , 29 x 360.5in. (73.5 x 92.5cm.) ,,The Orchestra by Raúl Rial,"3,083 USD",1,29.0,360.5
16154,16985," 700 - 1,000 USD ", 460 USD* ,2001-12-07, Eva Rubinstein,Swann Auction Galleries,Photographs, Silver print , 8 x 5.5 in , 1973 ,"Sisters, Spain by Eva Rubinstein, 1973",769 USD,1,8.0,5.5
16155,16986," 800 - 1,200 USD "," 1,035 USD* ",2001-12-07, Sebastião Salgado,Swann Auction Galleries,Photographs, Silver print , 7 x 10.5 in ," 1982, printed later ","El Condor, Ecuador by Sebastião Salgado, 1982, printed later","1,731 USD",1,7.0,10.5
16156,16987," 3,000 - 4,000 GBP "," 3,290 GBP ",2001-12-07, Roberto Matta,Christie's,MODERN AND POST WAR ART, pencil and coloured crayons on paper , 190.75 x 250.75in. (50.1 x 65.4cm.) ,,Abstraction by Roberto Matta,"7,875 USD",1,190.75,250.75
16157,16989," 2,500 - 3,500 USD "," 2,350 USD ",2001-12-12, Carlos Almaraz,Christie's,"Modern, Post-War and Contemporary Prints", screenprint in colors , each S. 34 x 530.5 in. (86.3 x 135.8 mm.) (2) , 1989 ,"Mystery Park; Mystery Park II by Carlos Almaraz, 1989","3,931 USD",1,34.0,530.5
16158,16993," 1,500 - 2,500 GBP "," 1,880 GBP ",2001-12-18, Roberto Matta,Christie's,Prints, etchings with aquatint in colours , overall S. 720 x 545mm. (10) , 1973 ,"Matta, Hom'mère - L'Eautre, Editions Georges Visat, Paris (Ferrari 194-203; Sabatier 408-417) by Roberto Matta, 1973","4,578 USD",1,720.0,545.0
16159,16994," 1,000 - 1,500 USD ", 863 USD ,2002-01-31, Vicky Neumann,Swann Auction Galleries,Old Master Drawings," Watercolor, gouache and pen and ink on cream laid paper ", 658x530 mm; 26x20.875 inches , 1799 ,"Adam and Eve with the Body of Abel by Vicky Neumann, 1799","1,421 USD",1,658.0,530.0
16160,16995," 55,000 - 75,000 GBP "," 58,750 GBP ",2002-02-04, Roberto Matta,Christie's,The Art of the Surreal, coloured crayon and pencil on paper , 120.75 x 180.75in. (32.4 x 47.6cm.) , 1940 ,"Untitled by Roberto Matta, 1940","137,135 USD",1,120.75,180.75
16161,16996," 10,000 - 15,000 GBP "," 18,800 GBP ",2002-02-07, Roberto Matta,Christie's,Post-War (Day Sale), oil on canvas , 28.375 x 24.625in. (72.2 x 62.6cm.) , 1976 ,"Le chef de la lune by Roberto Matta, 1976","43,597 USD",1,28.375,24.625
16162,16997," 10,000 - 15,000 USD "," 8,625 USD ",2002-02-19, Manuel Álvarez Bravo,Swann Auction Galleries,100 Fine Photographs, Silver print , 0.75x5 inches , Circa 1940 ,"Young woman against a wooden wall, Mexico by Manuel Álvarez Bravo, Circa 1940","14,201 USD",1,0.75,5.0
16163,16998," 2,000 - 3,000 USD "," 2,820 USD ",2002-02-19, Manuel Álvarez Bravo,Christie's,Photographs, Gelatin silver print , 90.5 x 70.5in. (24.1 x 19cm.) , 1937-1939/ printed later ,"Portrait of the Eternal by Manuel Álvarez Bravo, 1937-1939/ printed later","4,643 USD",1,90.5,70.5
16164,17000," 3,000 - 4,000 USD "," 5,875 USD ",2002-02-19, Manuel Álvarez Bravo,Christie's,Photographs, Gelatin silver print , 10 x 130.25in. (25.4 x 33.7cm.) , 1939/ printed later ,"La Buena Fama Durmiendo by Manuel Álvarez Bravo, 1939/ printed later","9,673 USD",1,10.0,130.25
16165,17002," 10,000 - 15,000 USD "," 10,575 USD ",2002-02-20, Alfred Jensen,Christie's,POST WAR AND CONTEMPORARY ART, oil and pencil on paper , 200.75 x 22 in. (52.7 x 55.8 cm.) , circa 1950 ,"Untitled by Alfred Jensen, circa 1950","17,412 USD",1,200.75,22.0
16166,17003," 5,000 - 7,000 USD "," 5,875 USD ",2002-02-20, Vik Muniz,Christie's,POST WAR AND CONTEMPORARY ART," watercolor, pencil, gouache, crayon, collage and tape on paper in artist's frame ", 410.75 x 350.5 in. (106 x 90.2 cm.) , 1990 ,"Blindfolded Self-Portrait by Vik Muniz, 1990","9,673 USD",1,410.75,350.5
16168,17006, 500 - 750 USD , 805 USD ,2002-03-07, Leopoldo Mendez,Swann Auction Galleries,19th & 20th Century Prints & Drawings, Woodcut , 310x420 mm; 120.25x160.5 inches , circa 1940 ,"Woman with Shawl by Leopoldo Mendez, circa 1940","1,325 USD",1,310.0,420.0
16169,17007," 700 - 1,000 USD "," 1,150 USD ",2002-03-07, José Clemente Orozco,Swann Auction Galleries,19th & 20th Century Prints & Drawings, Aquatint , 183x128 mm; 7.25x5.125 inches ,,El Cojo by José Clemente Orozco,"1,894 USD",1,183.0,128.0
16173,17012," 800 - 1,200 USD "," 1,035 USD ",2002-03-07, Miguel Covarrubias,Swann Auction Galleries,19th & 20th Century Prints & Drawings, Lithograph , 310x240 mm; 12.125x9.5 inches ,,"Rice Granary, Bali by Miguel Covarrubias","1,704 USD",1,310.0,240.0
16175,17017," 2,000 - 3,000 USD "," 2,070 USD ",2002-04-15, Manuel Álvarez Bravo,Swann Auction Galleries,19th & 20th Century Photographs, Silver print , 8.5 x 7.75 in , 1930 ,"Untitled by Manuel Álvarez Bravo, 1930","3,408 USD",1,8.5,7.75
16176,17018," 2,500 - 3,500 USD "," 2,300 USD ",2002-04-15, Manuel Álvarez Bravo,Swann Auction Galleries,19th & 20th Century Photographs, Silver print , 7 x 9.5 in , 1980 ,"Sleeping woman 1940 by Manuel Álvarez Bravo, 1980","3,787 USD",1,7.0,9.5
16178,17020," 7,000 - 9,000 USD "," 8,962 USD ",2002-04-18, Vik Muniz,Christie's,Photographs, Cibachrome mounted to aluminum , 250.5 x 200.5in. (64.7 x 52cm.) Framed , 1997-1998 ,"Milk Drop Coronet (After Harold Edgerton) by Vik Muniz, 1997-1998","14,756 USD",1,250.5,200.5
16179,17021," 2,500 - 3,500 USD "," 4,182 USD ",2002-04-18, Sebastião Salgado,Christie's,Photographs, Gelatin silver print , 11.625 x 170.5in. (29.5 x 44.4cm.) , 1984 ,"Ethiopie by Sebastião Salgado, 1984","6,886 USD",1,11.625,170.5
16180,17022," 3,500 - 4,500 USD "," 3,824 USD ",2002-05-01, Wifredo Lam,Christie's,Nineteenth and Twentieth Century Prints, lithographs in colors , 685 x 527 mm , 1974 ,"Pleni Luna, Stockholm, A.H. Grafik (Gravelines 7409-18) by Wifredo Lam, 1974","6,296 USD",0,685.0,527.0
16181,17037," 1,500 - 2,000 GBP "," 5,019 GBP ",2002-05-10, Manuel Álvarez Bravo,Christie's,Photographs, Gelatin silver print , 7.125 x 90.5in. (18 x 24.1cm.) Framed , 1939 ,"Good Reputation Sleeping by Manuel Álvarez Bravo, 1939","12,069 USD",1,7.125,90.5
16182,17038," 2,000 - 3,000 GBP "," 2,629 GBP ",2002-05-10, Sebastião Salgado,Christie's,Photographs, Gelatin silver print , 170.5 x 110.75in. (44.4 x 29.8cm.) Framed , 1986 ,"Serra Pelada Goldmine, Brazil by Sebastião Salgado, 1986","6,321 USD",1,170.5,110.75
16183,17039," 1,000 - 1,500 GBP "," 4,182 GBP ",2002-05-10, Manuel Álvarez Bravo,Christie's,Photographs, gelatin silver prints , Each approximately 7 x 90.5in. (17.8 x 24.1cm.) ... , 1966 ,"Bicicletas en domingo; Landscape, Mexico by Manuel Álvarez Bravo, 1966","10,055 USD",1,7.0,90.5
16184,17040, 300 - 500 USD ," 1,380 USD ",2002-05-14, Ángel Botello,Wright,American Art including the American Scene, Scratchboard , 15 x 12.5 inches ,,Untitled by Ángel Botello,"2,272 USD",1,15.0,12.5
16185,17041," 60,000 - 80,000 USD "," 53,775 USD ",2002-05-15, Alfred Jensen,Christie's,Post-War and Contemporary (Morning Session), oil on canvas , 72 x 72 in. (182.9 x 182.9 cm.) , 1974 ,"Mayan Mat Patterns' Number Structures by Alfred Jensen, 1974","88,543 USD",1,72.0,72.0
16186,17042," 25,000 - 35,000 USD "," 77,675 USD ",2002-05-15, Vik Muniz,Christie's,POST-WAR AND CONTEMPORARY (AFTERNOON SESSION), Cibachrome print , 470.25 x 59 in. (120 x 150 cm.) , 1997 ,"Action Photo III (After Hans Namuth) by Vik Muniz, 1997","127,895 USD",1,470.25,59.0
16187,17043," 20,000 - 30,000 USD "," 24,000 USD ",2002-05-21, Francis Luis Mora,Doyle New York,European & American Paintings & Sculpture, oil on canvas , 72 x 53 in , 1912 ,"Embroidered patterns by Francis Luis Mora, 1912","39,517 USD",1,72.0,53.0
16188,17044," 10,000 - 15,000 EUR "," 16,120 EUR ",2002-05-21, Wifredo Lam,Christie's,Modern & Contemporary Art, oil painting on canvas , 35 x 45 cm , 1972 ,"Senza titolo by Wifredo Lam, 1972","24,407 USD",0,35.0,45.0
16189,17045," 25,000 - 35,000 EUR "," 47,120 EUR ",2002-05-21, Roberto Matta,Christie's,Modern & Contemporary Art, oil painting on canvas , 80 x 99.3 cm , 1956 ,"Senza titolo by Roberto Matta, 1956","71,341 USD",0,80.0,99.3
